co_municipio,no_municipio,populacao
352910,MARINOPOLIS,2101
352900,MARILIA,242249
351450,DUARTINA,12421
351492,ELISIARIO,3742
350500,BARAO DE ANTONINA,3525
350510,BARBOSA,7532
352230,ITAPETININGA,167106
355210,SOCORRO,41690
350660,BIRITIBA-MIRIM,33000
355450,TIETE,42946
354340,RIBEIRAO PRETO,720116
354690,SANTA LUCIA,8889
351610,FLORINIA,3000
352260,ITAPIRA,75683
351512,EMILIANOPOLIS,3238
354230,REDENCAO DA SERRA,3827
354120,PRESIDENTE BERNARDES,12943
350110,ALTO ALEGRE,4078
350075,ALAMBARI,6231
352430,JABOTICABAL,78029
355535,UBARANA,6488
350310,ARANDU,6373
353110,MONGAGUA,58567
352630,LAGOINHA,4882
355365,TAQUARAL,2815
354390,RIO CLARO,209548
353720,PEDRO DE TOLEDO,11507
354110,PRESIDENTE ALVES,4067
352680,LENCOIS PAULISTA,69533
351430,DOURADO,8883
355020,SAO MIGUEL ARCANJO,33071
353080,MOGI MIRIM,94098
355620,VALINHOS,133169
353300,NOVA GRANADA,21871
355200,SILVEIRAS,6375
350160,AMERICANA,244370
355490,TRES FRONTEIRAS,5856
354780,SANTO ANDRE,723889
355475,TRABIJU,1752
350970,CAMPOS DO JORDAO,52713
354130,PRESIDENTE EPITACIO,44572
355400,TATUI,124134
355710,VOTUPORANGA,96106
352030,IGUAPE,31117
352420,JABORANDI,6963
353770,PIACATU,6093
350700,BOITUVA,63310
352330,ITARIRI,17754
350630,BERNARDINO DE CAMPOS,11168
355010,SAO MANUEL,41287
351770,GUARA,21394
350945,CAMPINA DO MONTE ALEGRE,6088
353120,MONTE ALEGRE DO SUL,8181
352510,JARDINOPOLIS,45544
354140,PRESIDENTE PRUDENTE,231953
353170,MONTEIRO LOBATO,4739
354820,SANTO ANTONIO DO PINHAL,6500
353610,PARDINHO,6579
351685,GAVIAO PEIXOTO,4841
353790,PILAR DO SUL,29612
353910,PIRAPORA DO BOM JESUS,19453
354840,SANTOPOLIS DO AGUAPEI,4856
351890,GUZOLANDIA,5346
351015,CANITAR,5365
354910,SAO JOAO DA BOA VISTA,92315
352885,MARAPOAMA,3097
350890,CAIABU,4195
351830,GUARAREMA,30465
350380,ARTUR NOGUEIRA,56247
351040,CAPIVARI,56973
351760,GUAPIARA,16896
350070,AGUDOS,37582
355560,UCHOA,10191
354550,SANDOVALINA,4405
354410,RIO GRANDE DA SERRA,52009
352640,LARANJAL PAULISTA,29047
355440,TERRA ROXA,9502
352140,IRACEMAPOLIS,24982
#N/A,GUARANI D OESTE,2000
354160,PROMISSAO,41211
353870,PIRACICABA,410275
350720,BORA,839
353130,MONTE ALTO,51039
354570,SANTA ALBERTINA,6036
354770,SANTO ANASTACIO,20855
351540,FARTURA,16102
355695,VITORIA BRASIL,1852
350995,CANAS,5268
353020,MIRANTE DO PARANAPANEMA,18415
350390,ARUJA,92453
354950,SAO JOSE DA BELA VISTA,8991
355160,SERRA NEGRA,29669
355380,TAQUARITUBA,23292
354860,SAO BENTO DO SAPUCAI,10907
353657,PAULISTANIA,1835
352870,MARABA PAULISTA,6039
352650,LAVINIA,12581
352840,MAIRINQUE,47723
352360,ITIRAPINA,18610
355150,SERRANA,46166
353690,PEDRANOPOLIS,2468
352920,MARTINOPOLIS,26791
350900,CAIEIRAS,104044
355550,UBIRAJARA,4828
350690,BOFETE,12107
353620,PARIQUERA-ACU,19797
352130,IPUA,16794
352250,ITAPEVI,244131
354640,SANTA CRUZ DO RIO PARDO,48207
351110,CATANDUVA,123114
354490,SALES OLIVEIRA,12103
354625,SANTA CRUZ DA ESPERANCA,2166
350450,AVARE,91792
352080,INUBIA PAULISTA,4045
354325,RIBEIRAO GRANDE,7686
351350,CUBATAO,132521
350635,BERTIOGA,66154
354290,RIBEIRAO BONITO,13376
355255,SUZANAPOLIS,4063
351630,FRANCISCO MORATO,179372
350440,AVANHANDAVA,14063
351580,FLORA RICA,1397
350760,BRAGANCA PAULISTA,172346
352100,IPERO,38771
354090,PRADOPOLIS,22239
355070,SAO SEBASTIAO,91637
350490,BANANAL,11039
355000,SAO LUIS DO PARAITINGA,10000
350820,BURITIZAL,4547
354980,SAO JOSE DO RIO PRETO,469173
355540,UBATUBA,92819
354515,SALTINHO,8498
353850,PIQUETE,13495
351150,CERQUILHO,50631
353730,PENAPOLIS,64098
354530,SALTO DE PIRAPORA,46285
350480,BALSAMO,9209
350740,BORBOREMA,16278
355050,SAO PEDRO DO TURVO,7724
354310,RIBEIRAO CORRENTE,4786
352930,MATAO,84069
351380,DIADEMA,429550
#N/A,ESTRELA D OESTE,8500
352970,MIGUELOPOLIS,22480
354990,SAO JOSE DOS CAMPOS,737310
351190,CLEMENTINA,8894
352300,ITAPURA,4994
354560,SANTA ADELIA,15639
350340,AREALVA,8665
350280,ARACATUBA,199210
353990,POLONI,6166
351090,CASSIA DOS COQUEIROS,2488
352940,MAUA,481725
352390,ITU,177150
350680,BOCAINA,12571
355720,CHAVANTES,12418
350670,BOA ESPERANCA DO SUL,15111
355680,VIRADOURO,19133
351560,FERNANDO PRESTES,5805
351950,IBIRAREMA,7926
352400,ITUPEVA,64330
350710,BOM JESUS DOS PERDOES,26000
353420,ORINDIUVA,7318
352220,ITAPECERICA DA SERRA,179574
352820,MACEDONIA,3500
351140,CERQUEIRA CESAR,20391
351100,CASTILHO,21521
351870,GUARUJA,324977
352740,LUCELIA,22022
354960,SAO JOSE DO BARREIRO,4141
350115,ALUMINIO,18903
354500,SALESOPOLIS,17363
351570,FERRAZ DE VASCONCELOS,198661
355110,SARAPUI,10493
354900,SAO FRANCISCO,2813
353205,MOTUCA,4831
353700,PEDREGULHO,16876
350150,ALVINLANDIA,3251
353220,NARANDIBA,4950
355060,SAO ROQUE,93076
351905,HOLAMBRA,15605
354280,RIBEIRA,3320
#N/A,SANTA BARBARA D OESTE,195000
351230,CONCHAS,18138
351925,IARAS,9786
352050,INDAIATUBA,260690
354020,PONTAL,51717
353980,POA,119221
354470,SAGRES,2427
353715,PEDRINHAS PAULISTA,3109
354510,SALMOURAO,5372
355460,TIMBURI,2647
354150,PRESIDENTE VENCESLAU,39648
351900,HERCULANDIA,9649
352980,MINEIROS DO TIETE,13023
353890,PIRAJUI,25939
351750,GUAPIACU,22087
350470,BALBINOS,6127
351535,EUCLIDES DA CUNHA PAULISTA,9280
353640,PAULICEIA,7540
350620,BENTO DE ABREU,3028
353100,MONCOES,2100
353560,PARAIBUNA,18000
353380,OLEO,2447
351640,FRANCO DA ROCHA,158438
353090,MOMBUCA,3523
353160,MONTE CASTELO,4166
353650,PAULINIA,114508
350080,ALFREDO MARCONDES,4201
352700,LINDOIA,8201
353350,NOVO HORIZONTE,41000
351490,ELIAS FAUSTO,18095
355700,VOTORANTIM,124468
352880,MARACAI,14069
350925,CAJATI,28441
354070,PORTO FERREIRA,56848
352590,JUNDIAI,426935
355635,VARGEM,10842
354750,SANTA RITA DO PASSA QUATRO,27641
350590,BATATAIS,63438
350200,ANALANDIA,5115
350715,BOM SUCESSO DE ITARARE,4013
355495,TUIUTI,7058
355320,TAIUVA,5562
354350,RIVERSUL,5364
353200,MORUNGABA,13936
352810,MACAUBAL,8174
354660,SANTA FE DO SUL,32796
355350,TAPIRAI,7725
354450,RUBINEIA,3191
354085,PRACINHA,4327
350410,ATIBAIA,145378
354250,REGINOPOLIS,10047
350230,ANHEMBI,6911
350360,AREIOPOLIS,11186
351790,GUARACI,11382
352580,JULIO MESQUITA,4824
351565,FERNAO,1739
350250,APARECIDA,36211
354320,RIBEIRAO DO SUL,4537
352265,ITAPIRAPUA PAULISTA,4294
352270,ITAPOLIS,43536
350020,ADOLFO,3545
354030,PONTES GESTAL,2576
350090,ALTAIR,4211
351200,COLINA,18601
352110,IPEUNA,7824
354805,SANTO ANTONIO DO ARACANGUA,8500
354700,SANTA MARIA DA SERRA,6298
355630,VALPARAISO,27154
352310,ITAQUAQUECETUBA,379082
352090,IPAUSSU,15165
350790,BROTAS,24862
351840,GUARATINGUETA,123192
352520,JARINU,31173
350190,AMPARO,73145
354600,SANTA BRANCA,14925
355690,VISTA ALEGRE DO ALTO,9163
355730,ESTIVA GERBI,11507
353150,MONTE AZUL PAULISTA,18928
352965,MESOPOLIS,1903
354220,RANCHARIA,29743
352585,JUMIRIM,3467
