co_municipio,,no_municipio,,,populacao,,populacao,
355260,",'",TABAPUA,,",",12561,,"12,561","INSERT INTO public.populacao VALUES (355260,'TABAPUA',12561);"
355240,",'",SUMARE,,",",289875,,"289,875","INSERT INTO public.populacao VALUES (355240,'SUMARE',289875);"
353050,",'",MOCOCA,,",",69072,,"69,072","INSERT INTO public.populacao VALUES (353050,'MOCOCA',69072);"
351519,",'",ESPIRITO SANTO DO TURVO,,",",4926,,"4,926","INSERT INTO public.populacao VALUES (351519,'ESPIRITO SANTO DO TURVO',4926);"
351510,",'",EMBU-GUACU,,",",70402,,"70,402","INSERT INTO public.populacao VALUES (351510,'EMBU-GUACU',70402);"
355360,",'",TAPIRATIBA,,",",12940,,"12,94","INSERT INTO public.populacao VALUES (355360,'TAPIRATIBA',12940);"
352010,",'",IGARAPAVA,,",",30791,,"30,791","INSERT INTO public.populacao VALUES (352010,'IGARAPAVA',30791);"
350315,",'",ARAPEI,,",",2452,,"2,452","INSERT INTO public.populacao VALUES (350315,'ARAPEI',2452);"
350520,",'",BARIRI,,",",35844,,"35,844","INSERT INTO public.populacao VALUES (350520,'BARIRI',35844);"
354330,",'",RIBEIRAO PIRES,,",",125238,,"125,238","INSERT INTO public.populacao VALUES (354330,'RIBEIRAO PIRES',125238);"
353370,",'",OCAUCU,,",",4294,,"4,294","INSERT INTO public.populacao VALUES (353370,'OCAUCU',4294);"
351970,",'",IBIUNA,,",",80062,,"80,062","INSERT INTO public.populacao VALUES (351970,'IBIUNA',80062);"
355090,",'",SAO SIMAO,,",",15446,,"15,446","INSERT INTO public.populacao VALUES (355090,'SAO SIMAO',15446);"
355300,",'",TAGUAI,,",",14415,,"14,415","INSERT INTO public.populacao VALUES (355300,'TAGUAI',14415);"
353660,",'",PAULO DE FARIA,,",",8973,,"8,973","INSERT INTO public.populacao VALUES (353660,'PAULO DE FARIA',8973);"
350275,",'",ARACARIGUAMA,,",",23343,,"23,343","INSERT INTO public.populacao VALUES (350275,'ARACARIGUAMA',23343);"
352215,",'",ITAOCA,,",",3332,,"3,332","INSERT INTO public.populacao VALUES (352215,'ITAOCA',3332);"
351470,",'",ECHAPORA,,",",6026,,"6,026","INSERT INTO public.populacao VALUES (351470,'ECHAPORA',6026);"
354425,",'",ROSANA,,",",15929,,"15,929","INSERT INTO public.populacao VALUES (354425,'ROSANA',15929);"
350210,",'",ANDRADINA,,",",57245,,"57,245","INSERT INTO public.populacao VALUES (350210,'ANDRADINA',57245);"
353940,",'",PIRATININGA,,",",13890,,"13,89","INSERT INTO public.populacao VALUES (353940,'PIRATININGA',13890);"
352120,",'",IPORANGA,,",",4180,,"4,18","INSERT INTO public.populacao VALUES (352120,'IPORANGA',4180);"
351000,",'",CANDIDO MOTA,,",",31410,,0,"INSERT INTO public.populacao VALUES (351000,'CANDIDO MOTA',31410);"
354760,",'",SANTA ROSA DE VITERBO,,",",26960,,"26,96","INSERT INTO public.populacao VALUES (354760,'SANTA ROSA DE VITERBO',26960);"
354400,",'",RIO DAS PEDRAS,,",",36233,,"36,233","INSERT INTO public.populacao VALUES (354400,'RIO DAS PEDRAS',36233);"
350950,",'",CAMPINAS,,",",1223237,,"1,223,237","INSERT INTO public.populacao VALUES (350950,'CAMPINAS',1223237);"
352960,",'",MERIDIANO,,",",3813,,"3,813","INSERT INTO public.populacao VALUES (352960,'MERIDIANO',3813);"
353820,",'",PINHALZINHO,,",",15564,,"15,564","INSERT INTO public.populacao VALUES (353820,'PINHALZINHO',15564);"
353750,",'",PEREIRAS,,",",8875,,"8,875","INSERT INTO public.populacao VALUES (353750,'PEREIRAS',8875);"
355140,",'",SERRA AZUL,,",",15292,,"15,292","INSERT INTO public.populacao VALUES (355140,'SERRA AZUL',15292);"
353710,",'",PEDREIRA,,",",48992,,"48,992","INSERT INTO public.populacao VALUES (353710,'PEDREIRA',48992);"
